對 a
釚 akz
釚 akzv
也 al
龍 al
龍 alv
鐐 ala
鏕 alb
鑣 albf
鐮 albf
鐮 albfv
鐝 albi
鐿 aldh
鏱 aldj
鏡 aldr
鉝 ale
鎕 aleo
鏞 aleq
鏮 alew
鎬 alho
鐓 alhp
錞 alhz
鋅 alj
襲 alk
銥 alk
鑛 alk
鎄 alk
銥 alkv
鑛 alkr
鎄 alks
釓 all
鑲 aln
鈰 aln
銇 aln
錸 aln
鈰 alnv
銇 alnr
錸 alns
鎊 alnf
鍗 alnn
鏑 alno
鎬 alno
鎬 alnov
鉐 alo
礱 alo
錇 alo
鏴 alo
礱 alov
錇 alor
鏴 alos
鑲 alok
鎄 alok
鎄 alokv
鎬 aloo
鐓 alop
錞 aloz
鏟 alp
鈪 alp
鈪 alpv
鐮 alpq
鏟 alps
鐘 alq
鐮 alq
鐮 alqv
鈧 alr
鑛 alrb
鏣 alrf
鍍 alru
鐰 alt
鈑 alu
鑨 alul
鉉 alw
鏲 alws
鎡 alww
鉸 alx
錞 alz
鐓 alzp
貪 am
鋇 amb
鍘 ambr
鏻 amc
鏻 amcs
鑭 amcs
鑭 amcsv
鋤 amd
鐧 amd
鐤 amd
鐧 amdv
鐤 amdr
鉏 ame
鎷 amf
驡 amf
驡 amfv
鏤 amg
鏭 amh
鍆 ami
鏦 amiz
侖 amj
銏 amj
銏 amjv
鑭 amjs
鐦 amk
毹 aml
钁 ammu
鑺 ammv
銤 amn
鑭 amn
鑭 amnv
鐍 amno
鉬 amo
釤 amp
鐇 amq
覦 amr
鋧 amr
鋧 amrv
臯 amrj
鍒 amt
鐗 amu
臯 amwj
鏝 amx
鍆 amy
良 an
矣 an
矣 anv
釣 ana
銶 ana
鏔 ana
銶 anav
鏔 anar
鈉 anb
鈞 anb
錧 anb
鈞 anbv
錧 anbr
鋼 anbe
憌 anbh
鎔 anbo
鑹 anbs
銫 anc
鍕 anc
鍕 ancv
銫 ancl
鋺 ancp
鐌 ancq
鋔 ancr
銁 and
錚 ane
鍹 ane
鍹 anev
鏔 aneb
鍹 anee
銅 aneo
鎵 aneq
錠 anez
鉈 anf
鷨 anf
鸗 anf
鵭 anf
鷨 anfv
鸗 anfr
鵭 anfs
鎋 anfo
銨 ang
錎 ang
錎 angv
鎋 anho
鑏 anht
鋾 ani
鍧 ani
鍧 aniv
鑔 anj
鑔 anjs
鑳 anjz
鉋 anl
鍃 anmh
鐌 ann
銏 anne
鉤 ano
錭 ano
錭 anov
鑱 anoa
鉋 anol
鏥 anpd
鍯 anqh
鈞 anr
鑧 anra
憌 anrh
鋎 anrr
錝 anrs
鑹 anrs
鑹 anrsv
錝 ans
鉨 ans
鉨 ansv
鑌 ansb
鑏 ant
鉤 anu
鈎 anu
鈎 anuv
鎔 anw
鋾 anwu
鋼 anx
鋐 anxu
錭 anyo
錠 anz
點 ao
龕 aoa
鐱 aoa
鏆 aoa
鐱 aoav
鏆 aoar
郃 aob
鉙 aob
鉙 aobv
鎾 aobf
斂 aobp
郒 aoc
郒 aocl
銦 aod
錏 aoe
鋘 aoed
翕 aoee
翖 aoee
翖 aoeev
盫 aoef
歙 aoei
盒 aof
鍜 aofu
鋘 aogn
拿 aoh
鐚 aoh
鐚 aohv
搻 aohh
欱 aoi
錮 aojo
鍔 aok
鋥 aok
鋥 aokv
鋘 aokd
釲 aol
鐉 aolb
龕 aoll
鉧 aom
乸 aom
乸 aomv
鏆 aomb
鐶 aon
銱 aon
銱 aonv
鍋 aonb
鴿 aonf
鋦 aono
合 aoo
釦 aoo
釦 aoov
僉 aoob
顩 aoob
龥 aoob
顩 aoobv
龥 aoobr
龤 aood
劎 aood
劔 aood
劎 aoodv
劔 aoodr
鸙 aoof
龢 aooh
歛 aooi
龡 aooi
龡 aooiv
鍔 aook
龠 aoom
劔 aoon
斂 aoop
劍 aoor
鐰 aoot
顩 aoot
龥 aoot
顩 aootv
龥 aootr
龣 aoow
劔 aoox
命 aop
鋁 aopo
畣 aoq
鎦 aoq
鐂 aoq
鎦 aoqv
鐂 aoqr
弇 aor
鍓 aor
鍓 aorv
頜 aot
頜 aotb
樖 aoto
鋗 aou
鋁 aov
鈱 aox
鍜 aox
鍜 aoxv
鏆 aoxb
鍲 aoxd
鋜 aoz
鏴 aozo
敆 aozu
救 ap
釙 apa
鉜 apa
鏓 apa
鉜 apav
鏓 apar
鄰 apb
鉖 apb
鉖 apbv
鎚 apbw
鉑 apd
龑 apd
龑 apdv
鍠 apdk
錦 apdn
鐈 apdo
銍 ape
翎 apee
鋒 apf
鈋 apf
鈋 apfv
鍭 apfd
鏠 apfw
錍 apg
令 api
鎀 apim
鏅 apiu
錦 apj
銔 apj
鐴 apj
銔 apjv
鐴 apjr
銋 apk
錈 apl
鎴 apmh
鎳 apmt
鐭 apnd
鴒 apnf
銄 apno
鎫 apnp
鉻 apo
鎞 apob
鐭 apob
鐭 apobv
鏓 apoh
錍 apqg
朇 apqg
朇 apqgv
刢 apr
領 apt
銝 apt
銝 aptv
領 aptb
鈒 apu
瓴 apw
斂 apx
鈹 apx
鈹 apxv
鋋 apzw
錢 aq
鐀 aqa
鏄 aqa
鏄 aqav
鑚 aqab
鐟 aqad
盞 aqaf
戔 aqaq
剗 aqar
虦 aqar
虦 aqarv
戍 aqb
鎅 aqbr
會 aqd
鄶 aqdb
朇 aqdg
劊 aqdr
鋰 aqe
鐃 aqer
臧 aqgr
鍶 aqh
鉀 aqi
戉 aqi
鈏 aqi
鈟 aqi
戉 aqiv
鈏 aqir
鈟 aqis
戎 aqj
鏎 aqj
鋽 aqj
鏎 aqjv
鋽 aqjr
鏎 aqjq
鍡 aqk
彧 aqme
成 aqn
鈇 aqn
鎌 aqn
鈇 aqnv
鎌 aqnr
郕 aqnb
鑚 aqnb
鑚 aqnbv
鐟 aqnd
盛 aqnf
鍝 aqnu
鍋 aqo
鈿 aqo
鎬 aqo
戓 aqo
鈿 aqov
鎬 aqor
戓 aqos
鏹 aqoc
或 aqoe
彧 aqoe
彧 aqoev
惑 aqoh
戜 aqok
彧 aqom
鐹 aqow
戊 aqp
戍 aqpa
顣 aqpb
顑 aqpb
顑 aqpbv
戌 aqpe
盛 aqpf
烕 aqpf
烕 aqpfv
威 aqpg
感 aqph
慼 aqph
慼 aqphv
觱 aqpn
咸 aqpo
戚 aqps
顣 aqpt
顑 aqpt
顑 aqptv
成 aqpy
蹙 aqpz
鑘 aqqq
鑸 aqqy
戒 aqr
划 aqr
劃 aqr
划 aqrv
劃 aqrr
鏎 aqrj
鏎 aqrq
鏍 aqs
錁 aqt
錴 aqu
鏹 aquc
戌 aqv
顑 aqvb
烕 aqvf
威 aqvg
感 aqvh
觱 aqvn
咸 aqvo
顑 aqvt
戈 aqx
戎 aqx
戎 aqxv
創 ar
划 ar
釩 ara
銚 ara
銚 arav
鎝 arao
鑶 arar
龔 arb
鎁 arb
鎁 arbv
銚 arbb
鑉 arc
鍈 arc
鍈 arcv
錯 ard
鏌 ardd
鍣 ardo
鑵 are
鐄 areb
鑑 arf
鋩 arf
鑖 arfa
鑖 arfb
鏪 arfd
鑖 arfv
鐯 arh
劍 ari
釗 ari
刌 ari
剆 ari
釗 ariv
刌 arir
剆 aris
聾 arj
鉺 arj
龏 arj
鉺 arjv
龏 arjr
鏵 arjq
銬 ark
釫 ark
釫 arkv
凣 arl
釠 arl
銸 arl
釠 arlv
銸 arlr
鑬 armr
钄 arms
鑠 arn
鈒 arn
鈒 arnv
鏋 arnb
鉛 aro
鎝 aro
鍩 aro
鍩 aror
錪 arob
鏪 arod
鑵 arov
釢 arp
錵 arpf
鑝 arpw
錨 arq
鈨 arr
鏵 arrj
鏵 arrq
鑷 arrr
龒 ars
鎺 arsm
鐷 arst
鐄 artb
鋷 aru
鈠 aru
鈠 aruv
鑦 arub
鏾 arup
鏗 aruy
划 arv
鑑 arvf
鑬 arvr
鑊 arvu
銢 arw
鑮 arwa
鎡 arww
鋟 arx
鏾 arx
鑈 arx
銰 arx
鏾 arxv
鑈 arxr
銰 arxs
鍩 arxo
鐯 aryd
鑉 aryf
凣 arz
釠 arz
釠 arzv
戚 as
釥 asa
銯 asa
銯 asav
銖 asb
鐺 ase
鉎 ase
鉎 asev
歛 asei
斂 asep
鍿 aseq
劍 aser
銧 aser
銧 aserv
鑞 asfs
釧 asi
鋞 asi
鋞 asiv
書 asj
鈝 asj
鈝 asjv
鑞 asl
鉪 asl
鉪 aslv
鎖 asmb
鎻 asmb
鎻 asmbv
鐵 asn
鉄 asn
鉄 asnv
鑜 asnb
钂 asnf
鐣 asnh
鏛 asnn
鋿 asno
鐺 asnq
鎲 asnr
鑞 asns
鏿 asnt
鏜 asny
鐺 aso
鋯 aso
鋯 asov
鑞 asos
鈔 asp
錙 asq
鏁 asqt
銑 asr
鑽 asrb
銖 ass
鍱 ast
銷 asu
銵 asx
鐑 asyo
術 at
术 at
令 ata
顉 ata
顩 ata
顉 atav
顩 atar
鄰 atb
斜 atd
銆 atd
銆 atdv
缽 ate
鉢 ate
鉢 atev
翎 atee
錰 atf
怷 ath
怸 ath
怸 athv
釘 ati
銿 atj
術 atl
朮 atl
銃 atl
朮 atlv
銃 atlr
顉 atmb
顩 atmb
顩 atmbv
余 atn
術 atn
餘 atn
鈢 atn
术 atn
術 atnv
餘 atnr
鈢 atns
鈵 atnb
鴒 atnf
銿 atnq
鈳 ato
鑩 atoe
鑩 atol
鎶 atoo
銻 atp
敘 atp
敘 atpv
劊 atr
銃 atr
刢 atr
銃 atrv
刢 atrr
鋶 ats
領 att
領 attb
敘 atu
錥 atu
叙 atu
錥 atuv
叙 atur
銜 atv
述 atw
途 atw
瓴 atw
途 atwv
瓴 atwr
鶐 atwf
鑻 atxh
敘 atzu
敍 atzu
敍 atzuv
澳 au
釵 aua
鋝 aua
鋝 auav
鉯 aub
鋑 aubp
鏒 audm
朗 aue
鑰 aue
鈅 aue
鑰 auev
鈅 auer
鑥 aufd
鋞 aui
釪 auj
鏒 aum
銢 aun
鈶 auo
釮 aup
鐳 auq
鐸 auq
鐸 auqv
俞 aur
鈗 aur
鑐 aur
兪 aur
鈗 aurv
兪 aurs
鄃 aurb
愈 aurh
歈 auri
毹 aurm
鋑 aurp
覦 aurr
逾 aurw
鉾 aus
鑐 autr
錋 auu
鎐 auu
鎐 auuv
鏒 auum
鎟 auut
錣 auuu
奧 auv
鎐 auwu
塱 auy
鋞 auy
鋞 auyv
族 av
鉇 ava
鉃 avd
鍑 avdp
錐 ave
鐎 avf
鈼 avf
鈼 avfv
鎨 avj
鉘 avj
鉘 avjv
鑬 avl
鐫 avm
鐨 avmb
鉓 avn
鏷 avn
鏷 avnv
錡 avo
鋂 avom
鎸 avr
鋉 avs
鏉 avsi
鏶 avt
鐫 avu
鍑 avx
釳 avz
ぁ av,
ァ av.
錄 aw
鐖 awb
錔 awd
鐋 awdm
鐋 awe
鎢 awf
鑇 awh
釕 awi
鍏 awj
鎃 awlk
鏟 awls
逾 awn
迆 awn
過 awn
冰 awn
淾 awn
氷 awn
过 awn
逘 awn
迆 awnv
過 awnr
冰 awns
淾 awnf
氷 awnw
过 awnl
逘 awnc
鋙 awo
鋊 awo
鋊 awov
鍏 awos
鑠 awpt
鑇 awr
鐖 awwb
鈫 awx
鍅 awyu
貸 ax
犮 ax
鏄 axa
鎩 axau
鋣 axb
錉 axd
壹 axe
銪 axe
弌 axe
銪 axev
弌 axer
甙 axg
忒 axh
式 axi
銌 axiz
鐔 axj
銙 axk
鍎 axm
貣 axmb
彧 axme
鈽 axn
鳶 axnf
鏑 axo
銽 axo
銽 axov
釾 axp
鐂 axq
貳 axr
弍 axr
弍 axrv
貳 axrb
弎 axs
鎩 axtu
發 axu
髮 axu
鈜 axu
銪 axu
髮 axuv
鈜 axur
銪 axus
盋 axuf
鍐 axup
隿 axv
弋 axx
義 axx
犮 axx
义 axx
義 axxv
犮 axxr
义 axxs
盋 axxf
成 ay
錂 aybp
鐽 aybw
錴 ayby
壟 aye
鎰 aye
酓 aye
釷 aye
錴 aye
鎰 ayev
酓 ayer
釷 ayes
韽 ayed
盦 ayef
鉰 ayeo
鑟 ayfb
鐂 ayfq
念 ayh
鋕 ayh
鋕 ayhv
敜 ayhp
欦 ayi
衾 aylk
鑟 aym
貪 aymb
鳹 aynf
含 ayo
銡 ayo
銡 ayov
頷 ayob
鎱 ayok
鐵 ayoq
頷 ayot
釾 ayp
鍺 aypd
銠 aypf
銬 aypk
鐃 ayr
錂 ayrp
錴 ayry
侌 ayt
鉣 ayu
鎑 ayuf
雂 ayv
鐽 ayw
錂 ayx
今 ayy
銈 ayy
銈 ayyv
鑄 ayya
鐃 ayyr
銂 ayyy
之 az
鐬 azas
鋽 azdj
钀 azed
鐻 azeq
錳 azf
鏬 azh
鎼 azh
鎼 azhv
釨 azj
鏼 azj
鏼 azjv
鏼 azjs
釔 azl
鍞 azmb
之 azn
鐻 azn
鐻 aznv
鑽 azo
鉆 azo
鉆 azov
鏀 azof
鏀 azox
鐪 azqd
鑪 azqf
鑢 azqh
錿 azr
鈙 azu
錹 azu
鑡 azu
錹 azuv
鑡 azur
釻 azx
釔 azz
あ a,
ぁ a,
ぁ a,v
ア a.
ァ a.
ァ a.v
八 b
不 ba
丷 ba
險 bac
獘 bad
凔 bado
險 bae
凎 bae
鐅 bae
凎 baev
鐅 baer
陰 bafu
隃 bai
舖 bajq
陠 bajq
陠 bajqv
隴 bakp
隴 bal
阤 bal
阤 balv
陯 bam
冾 bao
險 baob
冷 bap
阾 bap
阾 bapv
隇 baqg
減 baqo
减 baqo
减 baqov
險 base
冷 bat
除 bat
涂 bat
凃 bat
阾 bat
除 batv
涂 batr
凃 bats
阾 batf
隃 baur
慈 bav
冹 bax
冹 baxx
陰 bayt
陰 bayu
ば ba,
バ ba.
資 bb
阫 bba
仒 bba
仒 bbav
韱 bbae
眾 bbb
众 bbb
众 bbbv
鶺 bbbf
傘 bbbj
脊 bbbu
叢 bbe
鐆 bbea
隘 bbef
隒 bbef
隒 bbefv
隊 bbeq
陰 bbeu
隂 bbeu
隂 bbeuv
隧 bbew
墜 bbey
除 bbh
慫 bbh
涂 bbh
凃 bbh
慫 bbhv
涂 bbhr
凃 bbhs
鄫 bbi
睂 bbim
傘 bbj
冸 bbj
冸 bbjv
阰 bbl
睂 bblm
俎 bbm
從 bbn
隊 bbn
仌 bbn
从 bbn
隊 bbnv
仌 bbnr
从 bbns
谷 bbo
豅 bboa
郤 bbob
谼 bbob
豄 bbob
谼 bbobv
豄 bbobr
螸 bboc
豀 bbod
鵒 bbof
慾 bboh
欲 bboi
谾 bboi
谾 bboiv
豅 bbol
豂 bbom
豄 bbom
豄 bbomv
谽 bboo
卻 bbop
豃 bbop
豃 bbopv
谻 bboq
谹 bbou
谺 bbox
谺 bboy
谻 bboz
階 bbpd
羋 bbq
階 bbr
聳 bbr
聳 bbrv
鄭 bbv
坐 bby
陛 bby
墜 bby
陛 bbyv
夎 bbyp
剉 bbyr
凍 bc
蟞 bca
陊 bcc
隤 bceb
墬 bcey
嫑 bcg
沖 bci
冲 bci
冲 bciv
陣 bcj
沖 bcj
冲 bcj
沖 bcjv
冲 bcjr
隦 bcol
陳 bcs
凍 bcs
凍 bcsv
螴 bcsc
敶 bcsp
柒 bct
凓 bct
凓 bctv
凐 bcy
陻 bcy
塦 bcy
陻 bcyv
塦 bcyr
階 bd
頭 bda
头 bda
头 bdav
邠 bdb
蚠 bdc
凂 bdcr
岔 bde
冱 bde
冱 bdev
陽 bdem
隄 bdez
盆 bdf
斃 bdf
炃 bdf
斃 bdfv
炃 bdfr
忿 bdh
阧 bdj
限 bdk
麄 bdlb
貧 bdmb
頭 bdn
奀 bdn
头 bdn
奀 bdnv
头 bdnr
鳻 bdnf
普 bdo
陽 bdo
阳 bdo
暼 bdo
陽 bdov
阳 bdor
暼 bdos
兺 bdof
分 bdp
剪 bdp
攽 bdp
剪 bdpv
攽 bdpr
冽 bdr
弅 bdr
弅 bdrv
陓 bdrk
頒 bdt
頒 bdtb
陭 bdto
剪 bdv
陽 bdvm
瓫 bdw
隰 bdwf
阞 bdx
坌 bdy
阞 bdy
阞 bdyv
並 be
尊 bea
猷 bead
鷷 beaf
夔 beap
遵 beaw
陚 beaz
邳 beb
蠲 bebc
益 bebf
鷁 bebf
鷁 bebfv
蠤 becc
奠 bed
關 bed
隑 bed
凒 bed
關 bedv
隑 bedr
凒 beds
鄭 bedb
送 bedw
丕 bee
凈 bee
翦 bee
亼 bee
仺 bee
凈 beev
翦 beer
亼 bees
兼 beef
隱 beeh
隠 beeh
隠 beehv
歉 beei
甉 beew
普 befd
並 befe
仚 bei
屳 bei
欮 bei
屳 beiv
欮 beir
隱 beih
檃 beit
櫽 beit
櫽 beitv
冿 bej
屰 bej
屰 bejv
兿 bejt
陋 bel
凂 bel
凂 belv
陃 ben
陃 benb
陋 benl
酋 beo
畣 beoq
隔 beot
陽 bep
遂 beqw
阢 ber
陘 besi
朔 beu
剪 beud
翦 beue
煎 beuf
愬 beuh
前 beur
槊 beut
遡 beuw
塑 beuy
翁 bev
凗 bev
凗 bevv
逆 bew
遒 bew
遒 bewv
鶿 bewf
鷀 bewf
鷀 bewfv
慈 bewh
茲 beww
兹 beww
甆 beww
兹 bewwv
甆 bewwr
孳 bewz
孶 bewz
孶 bewzv
屰 bex
歪 bez
阷 bez
阷 bezv
夔 bezp
べ be,
ベ be.
為 bf
煎 bfa
隯 bfa
隯 bfav
隁 bfdg
盃 bfe
狹 bfg
陿 bfg
陿 bfgv
陙 bfk
侖 bfl
湊 bfn
阦 bfn
凑 bfn
阦 bfnv
凑 bfnr
湊 bfnd
凑 bfnd
凑 bfndv
凑 bfnn
柒 bft
脊 bfu
斃 bfv
凝 bfvz
防 bfy
埅 bfy
凙 bfy
埅 bfyv
凙 bfyr
凙 bfyg
阸 bfz
障 bg
陲 bge
幷 bgg
逬 bggw
甁 bggw
甁 bggwv
阡 bgj
陲 bgjy
陝 bgn
關 bgn
陜 bgn
關 bgnv
陜 bgnr
鄭 bgnb
送 bgnw
舍 bgo
舎 bgo
舎 bgov
館 bgob
舘 bgob
舘 bgobv
鵨 bgof
舖 bgoi
舖 bgoq
舒 bgou
隀 bgq
嫳 bgx
隉 bgy
孬 bgz
隱 bh
隠 bh
憋 bha
余 bha
羭 bha
羷 bha
羪 bha
余 bhav
羷 bhas
羪 bhaf
羷 bhab
羢 bhaj
羪 bhak
羬 bhao
羚 bhap
羭 bhar
羚 bhat
羢 bhax
鄯 bhbb
羒 bhbd
羴 bhbh
歚 bhbi
善 bhbo
敾 bhbp
羓 bhc
羓 bhcl
斜 bhd
羯 bhd
劷 bhd
羯 bhdv
劷 bhdr
羯 bhdl
厁 bhdp
羞 bhe
峹 bhe
羠 bhe
峹 bhev
羠 bher
翔 bhee
嵞 bhee
嵞 bheev
羰 bhef
羥 bhei
悆 bhh
羧 bhh
羧 bhhv
差 bhi
譱 bhii
齹 bhiu
